"The image is too small. Upload a larger image or move, resize and crop this one for the best fit.","Resim çok küçük. Daha büyük bir resim yükleyin veya baskının kaliteli çıkması için resimi küçültün"
"Fit the image into the frame without cropping. It may leave white space.","Resimi kırpmadan orantısal olarak küçült/büyüt ve çerçeve içerisine yerşeltir. Bu işlem sonunda çerçeve içerisinde beyaz alan kalabilir"
"Fit the image into the frame without any white space. It may crop the image.","Resimi çerçeve içerisine beyaz alan kalmayacak şekilde yerşeltir. Bu işlem sonunda resim kırpılabilir"
"Fit the width of the image in the frame. May leave white space above and below.","Resimin geniş kenarını çerçeve içerisine tam sığdır. Bu işlem sonunda resimin üstünde ve altında beyaz alan kalabilir."
"Fit the height of the image in the frame. May leave white space on the sides.","Resimin uzun kenarını çerçeve içerisine tam sığdır. Bu işlem sonunda resimin sağında ve solunda beyaz alan kalabilir."
"Return to a default position.","Varsayılan konuma geri dön."
"Cannot update the preview. Try again.","Değişiklikler uygulanamadı. Lütfen tekrar deneyiniz."
"Cannot update the preview. Try again or add to cart as is and we will update it manually.","Değişiklikler uygulanamadı. Tasarımı mevcut haliyle sepete ekleyiniz. Grafik birimimiz yaptığınız değişiklikleri sizin için tasarıma uygulayacaktır. Lütfen bizimle irtibat kurunuz."
"The product was added in fallback mode. We will update it manually with your input data","Ürün sepete eklenirken bir hata oluştu. Grafik birimimiz yaptığınız değişiklikleri sizin için tasarıma uygulayacaktır. Lütfen bizimle irtibat kurunuz."
"* Click on a cell to insert the value or click on the first column to insert the entire row.","* Tek tek değer girmek için bir hücrelere tıklayınız. Tüm satırı tek seferde girmek için lütfen ilk kolonun üzerine tıklayınız."
"Database look-up","Veritabanına göz at"
"Form","Form"
"Editor","Editör"
"Enlarge","Büyüt"
"Dynamic imaging (no PDF output)","Dinamik Görüntüleme"
